"","orig_no","taxon_no","record_type","flags","taxon_rank","taxon_name","difference","accepted_no","accepted_rank","accepted_name","parent_no","container_no","reference_no","is_extant","n_occs"
"1290","39756",39756,"txn","","genus","Aploconodon",NA,39756,"genus","Aploconodon",39754,"",38226,"extinct",2
"1291","203416",203416,"txn","","species","Aploconodon comoensis",NA,203416,"species","Aploconodon comoensis",39756,"",38226,"extinct",1
"1292","103929",103929,"txn","","genus","Comodon",NA,103929,"genus","Comodon",39754,"",24653,"extinct",2
"1293","103930",103931,"txn","","species","Comodon gidleyi",NA,103930,"species","Comodon gidleyi",103929,"",38226,"extinct",1
"1294","264055",264055,"txn","","genus","Kemchugia",NA,264055,"genus","Kemchugia",39754,"",45983,"extinct",2
"1295","264056",264056,"txn","","species","Kemchugia magna",NA,264056,"species","Kemchugia magna",264055,"",45983,"extinct",1
"1296","54406",54406,"txn","","genus","Liaotherium",NA,54406,"genus","Liaotherium",39754,"",9192,"extinct",2
"1297","54407",54407,"txn","","species","Liaotherium gracile",NA,54407,"species","Liaotherium gracile",54406,"",9192,"extinct",1
"1298","39759",39759,"txn","","genus","Phascolotherium",NA,39759,"genus","Phascolotherium",39754,"",4783,"extinct",8
"1299","203413",207503,"txn","","species","Phascolotherium bucklandi",NA,203413,"species","Phascolotherium bucklandi",39759,"",38223,"extinct",2
"1300","347498",347498,"txn","","species","Phascolotherium simpsoni",NA,347498,"species","Phascolotherium simpsoni",39759,"",60779,"extinct",2
"1301","208913",208913,"txn","","genus","Tendagurodon",NA,208913,"genus","Tendagurodon",39754,"",41626,"extinct",2
"1302","208914",208914,"txn","","species","Tendagurodon janenschi",NA,208914,"species","Tendagurodon janenschi",208913,"",41626,"extinct",1
"1303","320101",320101,"txn","","subclass","Apotheria",NA,320101,"subclass","Apotheria",36651,"",55235,"extinct",8
"1304","320106",320106,"txn","","superorder","Paratribosphenida",NA,320106,"superorder","Paratribosphenida",320101,"",55235,"extinct",8
"1305","64367",64367,"txn","","order","Shuotheridia",NA,64367,"order","Shuotheridia",320106,"",12571,"extinct",8
"1306","64366",64366,"txn","","family","Shuotheriidae",NA,64366,"family","Shuotheriidae",64367,"",12571,"extinct",8
"1307","130175",130175,"txn","","genus","Pseudotribos",NA,130175,"genus","Pseudotribos",64366,"",27831,"extinct",2
"1308","130176",130176,"txn","","species","Pseudotribos robustus",NA,130176,"species","Pseudotribos robustus",130175,"",27831,"extinct",1
"1309","39913",39913,"txn","","genus","Shuotherium",NA,39913,"genus","Shuotherium",64366,"",12571,"extinct",6
"1310","64365",64365,"txn","","species","Shuotherium dongi",NA,64365,"species","Shuotherium dongi",39913,"",12571,"extinct",1
"1311","208901",208901,"txn","","species","Shuotherium shilongi",NA,208901,"species","Shuotherium shilongi",39913,"",44651,"extinct",1
"1312","54408",54408,"txn","","subclass","Eotheria",NA,54408,"subclass","Eotheria",36651,"",10470,"",12
"1313","39745",39745,"txn","","order","Triconodonta",NA,39745,"order","Triconodonta",54408,"",4783,"extinct",12
"1314","39736",39736,"txn","","subclass","Prototheria",NA,39736,"subclass","Prototheria",36651,"",4783,"extant",1
"1315","247806",327562,"txn","","infraclass","Marsupialia",NA,247806,"infraclass","Marsupialia",36651,"",18770,"extant",14
"1316","67671",67671,"txn","","order","Eutriconodonta",NA,67671,"order","Eutriconodonta",36651,"",14443,"extinct",204
"1317","67668",67668,"txn","","family","Gobiconodontidae",NA,67668,"family","Gobiconodontidae",67671,"",2023,"extinct",50
"1318","39757",39757,"txn","","genus","Gobiconodon",NA,39757,"genus","Gobiconodon",67668,"",6294,"extinct",35
"1319","140283",140283,"txn","","species","Gobiconodon borissiaki",NA,140283,"species","Gobiconodon borissiaki",39757,"",2023,"extinct",3
"1320","72278",72278,"txn","","species","Gobiconodon haizhouensis",NA,72278,"species","Gobiconodon haizhouensis",39757,"",63822,"extinct",1
"1321","140285",204182,"txn","","species","Gobiconodon hoburensis",NA,140285,"species","Gobiconodon hoburensis",39757,"",38333,"extinct",3
"1322","204184",204184,"txn","","species","Gobiconodon hopsoni",NA,204184,"species","Gobiconodon hopsoni",39757,"",38334,"extinct",1
"1323","153871",153871,"txn","","species","Gobiconodon luoianus",NA,153871,"species","Gobiconodon luoianus",39757,"",30696,"extinct",1
"1324","46675",46675,"txn","","species","Gobiconodon ostromi",NA,46675,"species","Gobiconodon ostromi",39757,"",2023,"extinct",3
"1325","70490",70490,"txn","","species","Gobiconodon tomidai",NA,70490,"species","Gobiconodon tomidai",39757,"",63822,"extinct",1
"1326","197841",197841,"txn","","species","Gobiconodon zofiae",NA,197841,"species","Gobiconodon zofiae",39757,"",37437,"extinct",1
"1327","57345",57345,"txn","","genus","Hangjinia",NA,57345,"genus","Hangjinia",67668,"",10472,"extinct",2
"1328","57346",57346,"txn","","species","Hangjinia chowi",NA,57346,"species","Hangjinia chowi",57345,"",10472,"extinct",1
"1329","252024",252024,"txn","","genus","Huasteconodon",NA,252024,"genus","Huasteconodon",67668,"",43805,"extinct",2
"1330","252025",252025,"txn","","species","Huasteconodon wiblei",NA,252025,"species","Huasteconodon wiblei",252024,"",43805,"extinct",1
"1331","146458",146458,"txn","","genus","Meemannodon",NA,146458,"genus","Meemannodon",67668,"",29878,"extinct",2
"1332","146459",146459,"txn","","species","Meemannodon lujiatunensis",NA,146459,"species","Meemannodon lujiatunensis",146458,"",29878,"extinct",1
"1333","67605",67605,"txn","","genus","Repenomamus",NA,67605,"genus","Repenomamus",67668,"",14415,"extinct",4
"1334","67606",67606,"txn","","species","Repenomamus giganticus",NA,67606,"species","Repenomamus giganticus",67605,"",13127,"extinct",1
"1335","67607",67607,"txn","","species","Repenomamus robustus",NA,67607,"species","Repenomamus robustus",67605,"",14415,"extinct",1
"1336","331038",331038,"txn","","genus","Spinolestes",NA,331038,"genus","Spinolestes",67668,"",56864,"extinct",2
"1337","331039",331039,"txn","","species","Spinolestes xenarthrosus",NA,331039,"species","Spinolestes xenarthrosus",331038,"",56864,"extinct",1
"1338","109001",109001,"txn","","family","Jeholodentidae",NA,109001,"family","Jeholodentidae",67671,"",25427,"extinct",2
"1339","109000",109000,"txn","","genus","Yanoconodon",NA,109000,"genus","Yanoconodon",109001,"",25427,"extinct",2
"1340","65083",65083,"txn","","species","Yanoconodon allini",NA,65083,"species","Yanoconodon allini",109000,"",25427,"extinct",1
"1341","257522",257522,"txn","","family","Klameliidae",NA,257522,"family","Klameliidae",67671,"",44656,"extinct",5
"1342","257521",257521,"txn","","genus","Ferganodon",NA,257521,"genus","Ferganodon",257522,"",44656,"extinct",3
"1343","257523",257523,"txn","","species","Ferganodon naryensis",NA,257523,"species","Ferganodon naryensis",257521,"",44656,"extinct",1
"1344","39751",39751,"txn","","genus","Klamelia",NA,39751,"genus","Klamelia",257522,"",35404,"extinct",2
"1345","140286",140286,"txn","","species","Klamelia zhaopengi",NA,140286,"species","Klamelia zhaopengi",39751,"",35404,"extinct",1
"1346","39760",39760,"txn","","family","Triconodontidae",NA,39760,"family","Triconodontidae",67671,"",4783,"extinct",119
"1347","208916",208916,"txn","","subfamily","Alticonodontinae",NA,208916,"subfamily","Alticonodontinae",39760,"",14365,"extinct",74
"1348","91432",242245,"txn","","tribe","Volaticotherini",NA,91432,"tribe","Volaticotherini",208916,"",19497,"extinct",9
